ISBN,name,one_star_count,two_star_count,three_star_count,four_star_count,five_star_count,average_rating
9786053759386,Teftiş,356,1017,2636,2817,1419,3.48
9786053759522,Istrancalı Abdülharis Paşa,1,5,32,79,67,4.12
9786053757276,Kırmızı Piyano,258,895,2093,1593,672,3.28
9786257913027,Kurt Yolu,120,315,1484,3064,2022,3.94
9786258387759,Sakın Peşimden Gelme,272,1177,7950,17413,10164,3.97
9789754053920,Tepki,2730,12428,61324,84723,74316,3.91
9786055358051,Vahşi Adalet,78,229,1305,2125,1489,3.90
9786052064764,Eva’nın Çığlığı,120,501,2067,2763,1319,3.69
9786055358020,Bakire,84,378,1746,3065,1839,3.87
9786055358594,Kayıp Kızlar Adası,269,1281,4756,4407,1992,3.52
9786050974195,Asla Arkana Bakma,143,572,1884,2218,1698,3.73
9786050974225,Bıçak Sırtı,163,586,2254,3216,2874,3.89
9786257737081,Efsun Sokağı 137,0,1,2,6,17,4.50
9786258475753,Takas,577,1992,6376,10029,6485,3.78
9789752125377,Hayaletin Garip Huyları,1640,6605,41385,71744,66532,4.040
9786254142000,Kız A,2328,7767,25520,31416,17221,3.63
9786055092573,Hannibal Doğuyor,2417,6239,1494,14858,12059,3.56
9786052650844,Şeytan Çıkaran - Karanlık Kitaplık,3852,8184,37933,81026,116093,4.20
9786257737036,Rebecca,7710,19910,90401,226469,315528,4.25
9786257737425,Boynuzlar - Karanlık Kitaplık,2303,6062,25324,46334,36483,3.93
9786057583680,Kül ve Kan,471,1997,11736,31246,33120,4.20
9786254487781,Saklambaç,18,30,113,290,474,4.27
9786257781718,Kapan,320,1320,7573,15984,10246,3.97
9786051735900,Komşu Kapanı,810,2124,7043,11840,11032,3.92
9786051735023,Mahkumlar,170,483,713,335,117,2.86
9786257650564,Çocuk Hırsızı,471,1075,3194,6856,8389,4.080
9786258400823,Fotoğraftaki Çocuk,40,126,621,923,802,3.92
9786258400762,Suçlu Kız Kardeş,36,71,295,370,330,3.80
9789752126343,Kan Varsa,839,3619,22784,49385,30735,3.98
9786055360115,Jonas - Güzel Ölüler Serisi 1.Kitap,392,787,1605,1317,1128,3.38
9786254143335,Kusursuz Çocuk,2768,7526,29884,60308,58279,4.030
9789752105072,Susannah'ın Şarkısı - Kara Kule Serisi 6.Kitap,2250,8109,35802,61065,57801,3.99
9789751044457,Yüzyılın Fırtınası,0,0,1,0,4,4.60
9786051732800,Sadece 5 Saniye,2,2,9,6,5,3.42
9786055092658,Hannibal,3232,8663,27262,37708,33739,3.81
9786059702843,Psikopati,28,120,468,753,442,3.81
9786054629152,Şizofren,176,724,2738,4997,4849,4.010
9786059702171,Psikoz,128,405,2353,6565,5208,4.11
9786054188413,Psiko-Analist,728,2649,10442,22363,25261,4.12
9786054629343,Profesör,142,457,1968,3479,2763,3.94
9789752124271,Hayatı Emen Karanlık,2214,9832,42314,51534,40200,3.81
9789752104372,Üç'ün Çekilişi - Kara Kule Serisi 2.Kitap,2071,7121,37751,102911,122114,4.23
9789754056075,Çılgınlığın Ötesi,2657,10428,33806,37401,33372,3.75
9786258475982,Bir Oğlanın Yaşamı,297,842,3858,10966,21199,4.40
9789752102170,Rüya Avcısı,6858,18732,51554,54266,47989,3.66
9786051116518,Ölü Ruhlar Ormanı,68,233,942,1289,904,3.79
9786052990018,7. Kurban,229,486,1624,2030,1498,3.70
9786052994566,Ters Köşe-Shaw İtirafları 1,261,726,2020,2254,1730,3.64
9786052997253,Kuzgun Karası,590,1883,11129,23657,14366,3.96
9786052997321,Babil Ayini,38,126,326,390,207,3.55
9786052995990,Blöf,23,133,478,631,324,3.69
9786053435860,Karga Kız,205,564,1883,2782,1824,3.75
9786052994993,Açlık Ateşi,48,254,1114,1969,1358,3.91
9786052996508,Ruh Kırıcı,306,1036,3464,6699,7426,4.050
9786052994986,Azap Çukuru,85,320,1077,1483,929,3.73
9786052994641,Kesit,58,205,903,1268,630,3.72
9786053439257,Panik,1861,6512,20520,21920,11330,3.55
9786052992968,Yobaz,926,2726,6107,5107,1993,3.27
9786053435150,Karanlıklar Şehri,443,1230,4573,7696,8965,4.030
9786052996522,Küçük Gölgeler Evi,190,500,1137,1018,585,3.38
9786052994528,Bana Güven-Beni Bul 3,1,19,87,161,172,4.10
9786052997024,Korku Avcısı-Tek Kaçış Ölüm,156,370,2228,8189,12276,4.38
9786052992593,Zero,84,420,1549,1981,1123,3.71
9786052995648,İntikam Yazı: Walter Pulaski-1,8,32,244,724,614,4.17
9789752121546,Kabuslar Pazarı,729,2692,15254,27656,17486,3.92
9789754053173,Ruhlar Dükkanı,3361,13539,60238,93517,90440,3.97
9789752127616,Lisey'in Hikayesi,3561,8587,23757,29122,24934,3.70
9789752103597,Çorak Topraklar - Kara Kule Serisi 3.Kitap,1605,5140,31727,87666,104787,4.25
9786053759393,Şe7t4n,2449,5701,22181,52172,51244,4.080
9789752122642,Korku Ağı,5875,22606,116856,220910,239731,4.10
9789754059748,Kemik Torbası,3475,12534,49407,70055,68168,3.92
9786053758686,İtfaiyeci,1345,3903,13097,23860,19606,3.91
9786052994900,Ölüm Fermanı,6,45,264,1175,1976,4.46
9786052995679,Mucize Adam,47,117,324,465,482,3.85
9789752126046,Enstitü,2537,7602,42025,121757,123972,4.20
9786053047841,Kızıl Ölüm - Bir Anıta Blake Vampir Avcısı Romanı,496,1033,2702,3639,5144,3.91
9789752123144,Sis-Tam Metin,1046,5122,32136,49232,41795,3.97
